DEAL EXPRESS 57;19 avenue Montastruc La Conseillère;57280;MAIZIERES LES METZ;1;13;2740
LE RAY INDUSTRIE;33 Porte du Grand Lyon;1700;NEYRON;1;13;2758
ALPES USINAGE;AVENUE DU MOLE;74460;MARNAZ;1;13;2765
SENIOR AEROSPACE SITE DE DOURDAN;11, rue des Soufflets;91410;DOURDAN;1;13;2777
ALSTOM;6 RUE DE strasbourg;67110;REICHSOFFEN;1;13;2802
MSI;3 rue de l'industrie ZI INOVA 3000;88150;THAON LES VOSGES;1;13;2820
SOMEP CMIV;1, Rue de ChampfleuryRN 75;38630;VEYRINS - THUELLIN;1;13;2826
EILS;JOSEPH-MARIE-JACQUARD;67400;ILLKIRCH GRAFFENSTADEN;1;13;2827
SHERCO;407 rue etienne lenoir (KM DELTA);30900;nimes;1;13;2890
SPIE NUCLÉAIRE LYON;20 boulevard Eugène Deruelle;69432;LYON;1;13;2895
PATURLE ACIERS;;38180;SAINT LAURENT DU PONT;1;13;2899
GARDETTE INDUSTRIE;95 Route de Frans;69655;VILLEFRANCHE SUR SAONE;1;13;2913
CHANTIER NAVAL RIVE SUD;rue d'Amsterdamparc aquatechnique;34200;SETE;1;13;2949
FML DECOLLETAGE;297 rue de Ponthior;74300;cluses;1;13;3001
SCHNEIDER ELECTRIC SITE D'EYBENS;31, rue Pierre Mendès France;38320;EYBENS;1;13;3020
DANIELSON ENGINEERING;3, rue du vieux Magny;58470;MAGNY COURS;1;13;3022
FONDERIE GIROUD;389-531 Chemin de Renevier;38530;BARRAUX;1;13;3035
SIEMENS DIVISION PRODUCTION PROCESS AUTOMATION;1 chemin de la Sandlach;677500;HAGUENAU;1;13;3047
